Full cluster
qty: 7
Number of points: 212
 x     y     z     cluster_id
-----------------------------
-0.06  0.03  0.02: 1
-0.00  0.05  0.07: 1
-0.06 -0.01  0.05: 1
 0.01 -0.01  0.06: 1
-0.05 -0.00  0.00: 1
 0.02  0.07  0.03: 1
-0.03  0.06 -0.06: 1
-0.02  0.01 -0.01: 1
-0.04 -0.06 -0.03: 1
-0.02 -0.04  0.05: 1
 0.04 -0.04  0.04: 1
-0.00 -0.05 -0.06: 1
-0.07 -0.01 -0.06: 1
 0.01  0.03  0.01: 1
-0.01  0.06 -0.06: 1
-0.00  0.06  0.04: 1
 0.09 -0.03 -0.01: 1
-0.08 -0.04 -0.04: 1
 0.06 -0.01  0.08: 1
-0.03  0.05  0.03: 1
 0.04 -0.03  0.01: 1
 0.01  0.02 -0.09: 1
-0.06 -0.02  0.01: 1
-0.05  0.05  0.03: 1
 0.04 -0.06 -0.02: 1
-0.00  0.07  0.07: 1
-0.06  0.01  0.04: 1
 0.04 -0.01  0.05: 1
-0.06  0.06  0.03: 1
 0.07 -0.02 -0.02: 1
 0.06 -0.03 -0.01: 1
 0.08 -0.01 -0.00: 1
 2.42  0.49  0.03: 2
 2.81  0.77 -0.56: 2
 2.98 -0.98 -0.17: 2
 3.06 -0.48  0.37: 2
 3.02 -0.67  0.13: 2
 2.45  0.18 -0.53: 2
 3.20  0.20  0.59: 2
 3.27  0.01 -0.76: 2
 3.75 -0.42  0.15: 2
 3.41  0.52 -0.70: 2
 3.73  0.18  0.48: 2
 3.59 -0.37 -0.67: 2
 3.59  0.13  0.28: 2
 2.39  0.78 -0.01: 2
 3.42 -0.04  0.07: 2
 2.43 -0.21 -0.26: 2
 2.41 -0.02  0.10: 2
 2.92 -0.26 -0.67: 2
 3.19 -0.48  0.05: 2
 2.38  0.50 -0.38: 2
 2.61  0.79  0.05: 2
 2.92 -0.83 -0.20: 2
 2.93  0.72 -0.35: 2
 3.47  0.32  0.25: 2
 3.27  0.21  0.08: 2
 2.92 -0.64 -0.46: 2
 3.02 -0.49  0.38: 2
 2.84 -0.08 -0.66: 2
 2.83 -0.24 -0.14: 2
 2.77  0.36 -0.67: 2
-2.70  0.34  0.30: 3
-2.58 -0.75 -0.23: 3
-3.31  0.92 -0.09: 3
-3.97 -0.02  0.10: 3
-3.33 -0.22 -0.41: 3
-2.68  0.52  0.03: 3
-2.19 -0.54 -0.09: 3
-3.01 -0.08 -0.75: 3
-3.46  0.46 -0.75: 3
-2.63  0.68 -0.15: 3
-3.32  0.02  0.70: 3
-2.83 -0.68  0.30: 3
-2.72 -0.50  0.25: 3
-2.61  0.44  0.45: 3
-2.85 -0.79 -0.28: 3
-2.81 -0.09  0.72: 3
-3.54  0.78  0.09: -1
-2.46 -0.60  0.55: 3
-2.76 -0.54  0.25: 3
-2.93 -0.16  0.43: 3
-3.05 -0.22  0.86: 3
-3.63 -0.05  0.50: 3
-3.60 -0.25 -0.26: 3
-2.29  0.11  0.65: 3
-2.66 -0.04  0.36: 3
-3.16  0.29 -0.84: 3
-2.60  0.44  0.09: 3
-3.38  0.31 -0.69: 3
-3.96 -0.11  0.02: 3
-2.83 -0.07  0.54: 3
 0.50  2.90  0.79: 4
 0.22  3.07  0.03: 4
 0.14  2.13  0.32: 4
 0.42  3.06  0.23: 4
 0.66  3.45 -0.10: 4
 0.62  3.29  0.28: 4
-0.29  3.30 -0.17: 4
-0.36  2.66  0.02: 4
-0.56  3.33  0.07: 4
 0.19  3.71 -0.26: 4
 0.45  2.84  0.07: 4
-0.05  3.63  0.61: 4
 0.43  3.77  0.10: 4
 0.44  3.49 -0.75: 4
-0.12  2.62  0.58: 4
-0.60  3.55  0.10: 4
 0.27  3.66 -0.10: 4
-0.01  2.92  0.39: 4
-0.81  2.98 -0.40: 4
-0.00  2.46  0.32: 4
 0.27  2.29 -0.24: 4
-0.00  3.11 -0.88: 4
 0.18  3.72  0.34: 4
-0.35  2.52  0.70: 4
 0.02  2.99 -0.27: 4
 0.39  2.77  0.58: 4
 0.72  3.47 -0.17: 4
 0.29  2.61  0.77: 4
 0.85  2.90 -0.34: 4
 0.31  3.29 -0.38: 4
-0.15 -2.38 -0.55: 5
 0.04 -3.01  0.26: 5
 0.76 -2.97  0.30: 5
 0.27 -3.55  0.60: 5
 0.11 -2.87 -0.97: 5
-0.61 -2.32  0.06: 5
 0.56 -2.67  0.27: 5
 0.05 -3.69 -0.45: 5
 0.37 -3.88 -0.18: 5
-0.26 -2.57 -0.37: 5
-0.06 -3.54  0.16: 5
 0.44 -2.85 -0.71: 5
-0.19 -2.83 -0.87: 5
-0.16 -3.04 -0.45: 5
-0.25 -2.36  0.54: 5
 0.86 -2.93 -0.11: 5
-0.45 -2.89  0.04: 5
-0.76 -3.12  0.01: 5
 0.51 -3.70 -0.13: 5
-0.26 -2.79  0.89: 5
 0.64 -2.89 -0.54: 5
-0.72 -3.17 -0.42: 5
-0.15 -2.35 -0.20: 5
-0.44 -3.19 -0.87: 5
-0.02 -3.60  0.68: 5
-0.38 -2.12 -0.20: 5
-0.08 -2.97 -0.09: 5
 0.73 -2.64 -0.39: 5
-0.12 -2.39 -0.12: 5
 0.38 -3.74  0.43: 5
-0.65 -0.26  2.88: 6
 0.86 -0.26  3.34: 6
 0.58  0.25  3.16: 6
-0.11  0.54  3.36: 6
-0.45 -0.17  2.40: 6
 0.28 -0.68  3.02: 6
-0.50 -0.10  2.92: 6
 0.63 -0.14  2.96: 6
-0.55  0.82  2.89: 6
 0.28 -0.33  2.28: 6
-0.68 -0.39  2.85: 6
-0.15  0.77  3.24: 6
-0.18  0.82  2.81: 6
 0.41 -0.75  2.71: 6
-0.69  0.53  2.86: 6
 0.19  0.10  3.40: 6
 0.40  0.31  2.18: 6
-0.33  0.73  2.76: 6
-0.07  0.86  3.45: 6
 0.07 -0.45  2.29: 6
-0.23  0.51  2.63: 6
 0.34 -0.72  2.40: 6
 0.78  0.22  2.67: 6
 0.09  0.60  3.53: 6
 0.22 -0.32  2.20: 6
-0.03  0.39  3.11: 6
 0.26  0.39  2.18: 6
-0.54  0.39  2.92: 6
-0.31 -0.92  2.88: 6
-0.11  0.03  3.90: 6
-0.75  0.62 -2.86: 7
-0.11 -0.08 -3.91: 7
-0.41  0.47 -3.64: 7
 0.66 -0.38 -2.90: 7
-0.06  0.55 -3.07: 7
 0.65 -0.28 -2.88: 7
 0.26  0.11 -2.93: 7
-0.17  0.40 -2.85: 7
 0.23 -0.51 -3.60: 7
-0.51  0.37 -3.36: 7
-0.51 -0.62 -3.54: 7
-0.00  0.28 -2.37: 7
-0.09  0.14 -3.15: 7
-0.56 -0.14 -2.73: 7
 0.64 -0.53 -2.88: 7
 0.03  0.30 -2.95: 7
-0.53  0.57 -3.12: 7
 0.49  0.68 -3.03: 7
-0.32 -0.53 -2.43: 7
 0.14  0.58 -3.66: 7
-0.37 -0.49 -2.48: 7
 0.66 -0.26 -3.67: 7
 0.65  0.44 -2.81: 7
-0.11  0.16 -3.04: 7
-0.69  0.26 -2.41: 7
 0.18 -0.05 -2.73: 7
 0.40 -0.86 -3.13: 7
-0.41 -0.33 -2.89: 7
-0.30  0.07 -3.64: 7
-0.51  0.43 -2.61: 7


Half init cluster
qty: 4
Number of points: 106
 x     y     z     cluster_id
-----------------------------
-0.06  0.03  0.02: 1
-0.00  0.05  0.07: 1
-0.06 -0.01  0.05: 1
 0.01 -0.01  0.06: 1
-0.05 -0.00  0.00: 1
 0.02  0.07  0.03: 1
-0.03  0.06 -0.06: 1
-0.02  0.01 -0.01: 1
-0.04 -0.06 -0.03: 1
-0.02 -0.04  0.05: 1
 0.04 -0.04  0.04: 1
-0.00 -0.05 -0.06: 1
-0.07 -0.01 -0.06: 1
 0.01  0.03  0.01: 1
-0.01  0.06 -0.06: 1
-0.00  0.06  0.04: 1
 0.09 -0.03 -0.01: 1
-0.08 -0.04 -0.04: 1
 0.06 -0.01  0.08: 1
-0.03  0.05  0.03: 1
 0.04 -0.03  0.01: 1
 0.01  0.02 -0.09: 1
-0.06 -0.02  0.01: 1
-0.05  0.05  0.03: 1
 0.04 -0.06 -0.02: 1
-0.00  0.07  0.07: 1
-0.06  0.01  0.04: 1
 0.04 -0.01  0.05: 1
-0.06  0.06  0.03: 1
 0.07 -0.02 -0.02: 1
 0.06 -0.03 -0.01: 1
 0.08 -0.01 -0.00: 1
 2.42  0.49  0.03: 2
 2.81  0.77 -0.56: 2
 2.98 -0.98 -0.17: 2
 3.06 -0.48  0.37: 2
 3.02 -0.67  0.13: 2
 2.45  0.18 -0.53: 2
 3.20  0.20  0.59: 2
 3.27  0.01 -0.76: 2
 3.75 -0.42  0.15: 2
 3.41  0.52 -0.70: 2
 3.73  0.18  0.48: 2
 3.59 -0.37 -0.67: 2
 3.59  0.13  0.28: 2
 2.39  0.78 -0.01: 2
 3.42 -0.04  0.07: 2
 2.43 -0.21 -0.26: 2
 2.41 -0.02  0.10: 2
 2.92 -0.26 -0.67: 2
 3.19 -0.48  0.05: 2
 2.38  0.50 -0.38: 2
 2.61  0.79  0.05: 2
 2.92 -0.83 -0.20: 2
 2.93  0.72 -0.35: 2
 3.47  0.32  0.25: 2
 3.27  0.21  0.08: 2
 2.92 -0.64 -0.46: 2
 3.02 -0.49  0.38: 2
 2.84 -0.08 -0.66: 2
 2.83 -0.24 -0.14: 2
 2.77  0.36 -0.67: 2
-2.70  0.34  0.30: 3
-2.58 -0.75 -0.23: 3
-3.31  0.92 -0.09: 3
-3.97 -0.02  0.10: 3
-3.33 -0.22 -0.41: 3
-2.68  0.52  0.03: 3
-2.19 -0.54 -0.09: 3
-3.01 -0.08 -0.75: 3
-3.46  0.46 -0.75: 3
-2.63  0.68 -0.15: 3
-3.32  0.02  0.70: 3
-2.83 -0.68  0.30: 3
-2.72 -0.50  0.25: 3
-2.61  0.44  0.45: 3
-2.85 -0.79 -0.28: 3
-2.81 -0.09  0.72: 3
-3.54  0.78  0.09: -1
-2.46 -0.60  0.55: 3
-2.76 -0.54  0.25: 3
-2.93 -0.16  0.43: 3
-3.05 -0.22  0.86: 3
-3.63 -0.05  0.50: 3
-3.60 -0.25 -0.26: 3
-2.29  0.11  0.65: 3
-2.66 -0.04  0.36: 3
-3.16  0.29 -0.84: 3
-2.60  0.44  0.09: 3
-3.38  0.31 -0.69: 3
-3.96 -0.11  0.02: 3
-2.83 -0.07  0.54: 3
 0.50  2.90  0.79: 4
 0.22  3.07  0.03: 4
 0.14  2.13  0.32: -1
 0.42  3.06  0.23: 4
 0.66  3.45 -0.10: 4
 0.62  3.29  0.28: 4
-0.29  3.30 -0.17: 4
-0.36  2.66  0.02: 4
-0.56  3.33  0.07: 4
 0.19  3.71 -0.26: 4
 0.45  2.84  0.07: 4
-0.05  3.63  0.61: 4
 0.43  3.77  0.10: 4
 0.44  3.49 -0.75: 4


Cluster with additional points
qty: 7
Number of points: 212
 x     y     z     cluster_id
-----------------------------
-0.06  0.03  0.02: 1
-0.00  0.05  0.07: 1
-0.06 -0.01  0.05: 1
 0.01 -0.01  0.06: 1
-0.05 -0.00  0.00: 1
 0.02  0.07  0.03: 1
-0.03  0.06 -0.06: 1
-0.02  0.01 -0.01: 1
-0.04 -0.06 -0.03: 1
-0.02 -0.04  0.05: 1
 0.04 -0.04  0.04: 1
-0.00 -0.05 -0.06: 1
-0.07 -0.01 -0.06: 1
 0.01  0.03  0.01: 1
-0.01  0.06 -0.06: 1
-0.00  0.06  0.04: 1
 0.09 -0.03 -0.01: 1
-0.08 -0.04 -0.04: 1
 0.06 -0.01  0.08: 1
-0.03  0.05  0.03: 1
 0.04 -0.03  0.01: 1
 0.01  0.02 -0.09: 1
-0.06 -0.02  0.01: 1
-0.05  0.05  0.03: 1
 0.04 -0.06 -0.02: 1
-0.00  0.07  0.07: 1
-0.06  0.01  0.04: 1
 0.04 -0.01  0.05: 1
-0.06  0.06  0.03: 1
 0.07 -0.02 -0.02: 1
 0.06 -0.03 -0.01: 1
 0.08 -0.01 -0.00: 1
 2.42  0.49  0.03: 2
 2.81  0.77 -0.56: 2
 2.98 -0.98 -0.17: 2
 3.06 -0.48  0.37: 2
 3.02 -0.67  0.13: 2
 2.45  0.18 -0.53: 2
 3.20  0.20  0.59: 2
 3.27  0.01 -0.76: 2
 3.75 -0.42  0.15: 2
 3.41  0.52 -0.70: 2
 3.73  0.18  0.48: 2
 3.59 -0.37 -0.67: 2
 3.59  0.13  0.28: 2
 2.39  0.78 -0.01: 2
 3.42 -0.04  0.07: 2
 2.43 -0.21 -0.26: 2
 2.41 -0.02  0.10: 2
 2.92 -0.26 -0.67: 2
 3.19 -0.48  0.05: 2
 2.38  0.50 -0.38: 2
 2.61  0.79  0.05: 2
 2.92 -0.83 -0.20: 2
 2.93  0.72 -0.35: 2
 3.47  0.32  0.25: 2
 3.27  0.21  0.08: 2
 2.92 -0.64 -0.46: 2
 3.02 -0.49  0.38: 2
 2.84 -0.08 -0.66: 2
 2.83 -0.24 -0.14: 2
 2.77  0.36 -0.67: 2
-2.70  0.34  0.30: 3
-2.58 -0.75 -0.23: 3
-3.31  0.92 -0.09: 3
-3.97 -0.02  0.10: 3
-3.33 -0.22 -0.41: 3
-2.68  0.52  0.03: 3
-2.19 -0.54 -0.09: 3
-3.01 -0.08 -0.75: 3
-3.46  0.46 -0.75: 3
-2.63  0.68 -0.15: 3
-3.32  0.02  0.70: 3
-2.83 -0.68  0.30: 3
-2.72 -0.50  0.25: 3
-2.61  0.44  0.45: 3
-2.85 -0.79 -0.28: 3
-2.81 -0.09  0.72: 3
-3.54  0.78  0.09: -1
-2.46 -0.60  0.55: 3
-2.76 -0.54  0.25: 3
-2.93 -0.16  0.43: 3
-3.05 -0.22  0.86: 3
-3.63 -0.05  0.50: 3
-3.60 -0.25 -0.26: 3
-2.29  0.11  0.65: 3
-2.66 -0.04  0.36: 3
-3.16  0.29 -0.84: 3
-2.60  0.44  0.09: 3
-3.38  0.31 -0.69: 3
-3.96 -0.11  0.02: 3
-2.83 -0.07  0.54: 3
 0.50  2.90  0.79: 4
 0.22  3.07  0.03: 4
 0.14  2.13  0.32: 4
 0.42  3.06  0.23: 4
 0.66  3.45 -0.10: 4
 0.62  3.29  0.28: 4
-0.29  3.30 -0.17: 4
-0.36  2.66  0.02: 4
-0.56  3.33  0.07: 4
 0.19  3.71 -0.26: 4
 0.45  2.84  0.07: 4
-0.05  3.63  0.61: 4
 0.43  3.77  0.10: 4
 0.44  3.49 -0.75: 4
-0.12  2.62  0.58: 4
-0.60  3.55  0.10: -2
 0.27  3.66 -0.10: 4
-0.01  2.92  0.39: 4
-0.81  2.98 -0.40: 4
-0.00  2.46  0.32: 4
 0.27  2.29 -0.24: 4
-0.00  3.11 -0.88: 4
 0.18  3.72  0.34: 4
-0.35  2.52  0.70: 4
 0.02  2.99 -0.27: 4
 0.39  2.77  0.58: 4
 0.72  3.47 -0.17: 4
 0.29  2.61  0.77: 4
 0.85  2.90 -0.34: 4
 0.31  3.29 -0.38: 4
-0.15 -2.38 -0.55: 5
 0.04 -3.01  0.26: 5
 0.76 -2.97  0.30: 5
 0.27 -3.55  0.60: 5
 0.11 -2.87 -0.97: 5
-0.61 -2.32  0.06: 5
 0.56 -2.67  0.27: 5
 0.05 -3.69 -0.45: 5
 0.37 -3.88 -0.18: 5
-0.26 -2.57 -0.37: 5
-0.06 -3.54  0.16: 5
 0.44 -2.85 -0.71: 5
-0.19 -2.83 -0.87: 5
-0.16 -3.04 -0.45: 5
-0.25 -2.36  0.54: 5
 0.86 -2.93 -0.11: 5
-0.45 -2.89  0.04: 5
-0.76 -3.12  0.01: 5
 0.51 -3.70 -0.13: 5
-0.26 -2.79  0.89: -2
 0.64 -2.89 -0.54: 5
-0.72 -3.17 -0.42: 5
-0.15 -2.35 -0.20: 5
-0.44 -3.19 -0.87: 5
-0.02 -3.60  0.68: 5
-0.38 -2.12 -0.20: 5
-0.08 -2.97 -0.09: 5
 0.73 -2.64 -0.39: 5
-0.12 -2.39 -0.12: 5
 0.38 -3.74  0.43: 5
-0.65 -0.26  2.88: 7
 0.86 -0.26  3.34: 7
 0.58  0.25  3.16: 7
-0.11  0.54  3.36: 7
-0.45 -0.17  2.40: 7
 0.28 -0.68  3.02: 7
-0.50 -0.10  2.92: 7
 0.63 -0.14  2.96: 7
-0.55  0.82  2.89: 7
 0.28 -0.33  2.28: 7
-0.68 -0.39  2.85: 7
-0.15  0.77  3.24: 7
-0.18  0.82  2.81: 7
 0.41 -0.75  2.71: 7
-0.69  0.53  2.86: 7
 0.19  0.10  3.40: 7
 0.40  0.31  2.18: 7
-0.33  0.73  2.76: 7
-0.07  0.86  3.45: 7
 0.07 -0.45  2.29: 7
-0.23  0.51  2.63: 7
 0.34 -0.72  2.40: 7
 0.78  0.22  2.67: 7
 0.09  0.60  3.53: 7
 0.22 -0.32  2.20: 7
-0.03  0.39  3.11: 7
 0.26  0.39  2.18: 7
-0.54  0.39  2.92: 7
-0.31 -0.92  2.88: 7
-0.11  0.03  3.90: 7
-0.75  0.62 -2.86: 10
-0.11 -0.08 -3.91: 10
-0.41  0.47 -3.64: 10
 0.66 -0.38 -2.90: 10
-0.06  0.55 -3.07: 10
 0.65 -0.28 -2.88: 10
 0.26  0.11 -2.93: 10
-0.17  0.40 -2.85: 10
 0.23 -0.51 -3.60: 10
-0.51  0.37 -3.36: 10
-0.51 -0.62 -3.54: 10
-0.00  0.28 -2.37: 10
-0.09  0.14 -3.15: 10
-0.56 -0.14 -2.73: 10
 0.64 -0.53 -2.88: 10
 0.03  0.30 -2.95: 10
-0.53  0.57 -3.12: 10
 0.49  0.68 -3.03: 10
-0.32 -0.53 -2.43: 10
 0.14  0.58 -3.66: 10
-0.37 -0.49 -2.48: 10
 0.66 -0.26 -3.67: -2
 0.65  0.44 -2.81: 10
-0.11  0.16 -3.04: 10
-0.69  0.26 -2.41: 10
 0.18 -0.05 -2.73: 10
 0.40 -0.86 -3.13: 10
-0.41 -0.33 -2.89: 10
-0.30  0.07 -3.64: 10
-0.51  0.43 -2.61: 10
Full DBSCAN elapsed time: 0 ms
