# Directed graph (each unordered pair of nodes is saved once): p2p-Gnutella08.txt 
# Directed Gnutella P2P network from August 8 2002
# Nodes: 6301 Edges: 5194
# FromNodeId	ToNodeId
4360	3566
4360	4828
4360	5232
4360	5233
4360	5234
4362	437
4362	906
4362	2779
4362	3687
4362	3886
4362	4286
4362	5242
4362	5243
4362	5244
4362	5245
4369	3694
4369	5186
4369	5252
4369	5253
4369	5254
4369	5255
4369	5256
4369	5257
4369	5258
4369	5259
4378	255
4378	363
4378	741
4378	869
4378	1456
4378	1762
4378	2485
4378	3109
4378	4854
4378	5251
4381	89
4381	691
4381	3189
4381	3314
4381	3849
4381	4344
4381	4788
4381	4934
4381	5246
4382	4
4382	124
4382	146
4382	247
4382	249
4382	367
4382	427
4382	559
4382	718
4382	754
4388	213
4388	265
4388	369
4388	427
4388	554
4388	695
4388	754
4388	2914
4388	3028
4388	5247
4389	208
4389	1173
4389	1362
4389	4164
4389	5248
4389	5249
4390	339
4390	527
4390	1339
4390	2066
4390	2839
4390	2973
4390	3524
4390	3661
4390	4723
4390	5250
4391	1894
4399	5
4399	125
4399	127
4399	179
4399	248
4399	250
4399	559
4399	667
4399	717
4399	2018
4400	762
4400	1647
4400	2170
4400	2579
4400	2599
4400	4097
4400	4867
4400	5260
4400	5261
4400	5262
4402	190
4402	3895
4402	5220
4402	5345
4403	202
4403	280
4403	1021
4403	2251
4403	2296
4403	4117
4403	4382
4403	5263
4403	5264
4405	3
4405	124
4405	177
4405	249
4405	251
4405	252
4405	264
4405	368
4405	559
4405	2018
4407	169
4407	1342
4407	2001
4407	2046
4407	3362
4407	5265
4407	5266
4407	5267
4407	5268
4416	122
4416	527
4416	571
4416	894
4416	1027
4416	2563
4416	2615
4416	4373
4416	4719
4416	5269
4417	95
4417	1197
4417	1619
4417	2079
4417	2114
4417	3253
4417	3598
4417	4303
4417	4950
4417	5175
4419	8
4419	31
4419	126
4419	144
4419	148
4419	175
4419	179
4419	247
4419	558
4419	697
4420	224
4420	281
4420	386
4420	1401
4420	3358
4420	3448
4420	3590
4420	5270
4420	5271
4421	124
4421	381
4421	477
4421	1655
4421	2055
4421	2169
4421	2254
4421	4129
4421	5266
4421	5272
4423	8
4423	77
4423	282
4423	1143
4423	1571
4423	1765
4423	2961
4423	3138
4423	4801
4423	5282
4424	110
4424	498
4424	1804
4424	2708
4424	4885
4424	5279
4424	5280
4424	5281
4424	5282
4424	5283
4428	179
4428	247
4428	251
4428	266
4428	368
4428	422
4428	423
4428	424
