# Directed graph (each unordered pair of nodes is saved once): p2p-Gnutella08.txt 
# Directed Gnutella P2P network from August 8 2002
# Nodes: 6301 Edges: 10389
# FromNodeId	ToNodeId
2712	8
2712	17
2712	31
2712	126
2712	144
2712	145
2712	149
2712	174
2712	559
2712	717
2715	285
2715	693
2715	1310
2715	1592
2715	1792
2715	2476
2715	2595
2715	2891
2715	3335
2715	4061
2716	196
2716	524
2716	1765
2716	2452
2716	3058
2716	3138
2716	4274
2716	4275
2716	4276
2716	4277
2718	748
2718	2127
2718	2293
2718	2614
2718	3558
2718	3913
2718	4052
2718	4281
2718	4282
2718	4283
2719	92
2719	182
2719	835
2719	1209
2719	1255
2719	1442
2719	3117
2719	4278
2719	4279
2719	4280
2721	959
2721	1526
2721	2341
2721	2397
2721	2524
2721	3215
2721	3441
2721	3695
2721	4290
2723	661
2723	814
2723	1025
2723	2038
2723	2943
2723	3613
2723	4082
2723	4284
2723	4285
2723	4286
2728	121
2728	129
2728	174
2728	183
2728	238
2728	353
2728	424
2728	427
2728	717
2728	2338
2732	227
2732	717
2732	1735
2732	1749
2732	1862
2732	2497
2732	3009
2732	4293
2732	4294
2732	4295
2733	3
2733	8
2733	177
2733	238
2733	249
2733	368
2733	369
2733	427
2733	667
2733	717
2735	92
2735	487
2735	892
2735	1718
2735	2952
2735	3163
2735	3169
2735	3471
2735	4291
2735	4292
2743	14
2743	1022
2743	1278
2743	1352
2743	2726
2743	2974
2743	3312
2743	4151
2743	4296
2743	4297
2748	165
2748	1066
2748	1140
2748	3096
2748	3801
2748	3946
2748	4153
2748	4300
2748	4301
2748	4302
2750	7
2750	8
2750	125
2750	128
2750	174
2750	238
2750	368
2750	424
2750	717
2750	856
2751	4
2751	147
2751	180
2751	249
2751	367
2751	368
2751	369
2751	390
2751	422
2751	856
2757	1829
2757	3882
2757	4405
2757	4406
2761	222
2761	1780
2761	2008
2761	2048
2761	2086
2761	3484
2761	3981
2761	4093
2761	4298
2761	4299
2767	8
2767	9
2767	127
2767	128
2767	238
2767	248
2767	352
2767	427
2767	1317
2767	4303
2770	5
2770	8
2770	123
2770	145
2770	148
2770	238
2770	353
2770	424
2770	427
2770	2338
2773	557
2773	583
2773	810
2773	832
2773	1728
2773	1866
2773	2974
2773	4304
2773	4305
2774	2440
2777	1103
2777	3292
2777	5452
2777	6039
2777	6279
2778	3497
2779	7
2779	124
2779	125
2779	144
2779	148
2779	149
2779	248
2779	249
2779	251
2779	367
2781	1980
2790	8
2790	121
2790	128
2790	144
2790	147
2790	266
2790	352
2790	424
2790	559
2790	1317
2794	513
2794	1042
2794	1509
2794	2001
2794	2292
2794	2615
2794	3215
2794	3907
2794	4306
2796	3
2796	5
2796	7
2796	8
2796	125
2796	126
2796	149
2796	247
2796	249
2796	424
2797	5
2797	17
2797	125
2797	126
2797	143
2797	149
2797	175
2797	754
2797	856
2798	177
2798	261
2798	266
2798	1134
2798	1529
2798	3304
2798	3590
2798	4307
2798	4308
2798	4309
2803	633
2803	942
2803	2095
2803	2307
2803	2327
2803	2870
2803	2927
2803	3204
2803	3808
2803	4310
2804	470
2804	604
2804	1325
2804	1451
2804	2422
2804	2733
2804	2768
2804	3276
2804	3772
2804	4311
2807	143
2807	249
2807	264
2807	390
2807	423
2807	559
2807	1842
2807	4312
2807	4313
2807	4314
2808	102
2808	552
2808	667
2808	677
2808	1056
2808	1956
2808	2719
2808	4189
2808	4316
2808	4317
2819	5
2819	144
2819	148
2819	149
2819	252
2819	266
2819	422
2819	559
2819	856
2819	2098
2821	73
2821	176
2821	353
2821	354
2821	367
2821	667
2821	823
2821	1091
2821	1267
2821	4320
2822	3
2822	4
2822	7
2822	144
2822	183
2822	264
2822	265
2822	266
2822	423
2822	667
2823	1089
2823	1915
2823	2021
2823	2884
2823	3119
2823	4165
2823	4321
2823	4322
2823	4323
2823	4324
2826	249
2826	1400
2826	2287
2826	2541
2826	2558
2826	2923
2826	4336
2826	5277
2826	5516
2826	5517
2828	113
2828	256
2828	518
2828	2196
2828	2322
2828	2992
2828	3963
2828	4124
2828	4325
2829	43
2829	122
2829	123
2829	251
2829	423
2829	1228
2829	1245
2829	1679
2829	1721
2829	4334
2831	133
2831	397
2831	398
2831	982
2831	3221
2831	3981
2831	4326
2831	4327
2831	4328
2831	4329
2835	815
2835	1197
2835	1234
2835	2821
2835	3351
2835	4191
2835	4330
2835	4331
2835	4332
2835	4333
2847	244
2847	498
2847	510
2847	527
2847	747
2847	1817
2847	2535
2847	3912
2847	4335
2847	4336
2852	159
2852	288
2852	422
2852	554
2852	576
2852	837
2852	1199
2852	1429
2852	1583
2852	1591
2852	1980
2852	2547
2852	2918
2852	3105
2852	3139
2852	3921
2852	4344
2852	4345
2852	4346
2852	4347
2852	4348
2852	4349
2852	4350
2852	4351
2852	4352
2852	4353
2852	4354
2852	4355
2859	571
2859	609
2859	695
2859	802
2859	864
2859	870
2859	2638
2859	3109
2859	4334
2859	4356
2860	122
2860	127
2860	143
2860	177
2860	179
2860	367
2860	369
2860	390
2860	422
2860	718
2861	7
2861	143
2861	147
2861	174
2861	175
2861	368
2861	559
2861	666
2861	754
2861	2018
2862	455
2862	633
2862	1931
2862	2407
2862	3594
2862	4280
2862	4337
2862	4338
2862	4339
2862	4340
2864	352
2866	364
2866	619
2866	706
2866	1620
2866	1787
2866	2089
2866	3017
2866	3156
2866	3930
2866	4368
2868	167
2868	1232
2868	1451
2868	2266
2868	2723
2868	2931
2868	2941
2868	3375
2868	3981
2868	4341
2870	23
2870	1431
2870	1754
2870	2344
2870	2778
2870	4360
2870	4361
2870	4362
2870	4363
2870	4364
2871	13
2871	554
2871	1756
2871	3247
2871	3485
2871	3489
2871	3959
2871	4342
2871	4343
2873	3
2873	124
2873	143
2873	176
2873	248
2873	264
2873	352
2873	367
2873	369
2873	856
2875	141
2875	396
2875	848
2875	2313
2875	3327
2875	3894
2875	4051
2875	4357
2875	4358
2875	4359
2879	5
2879	31
2879	125
2879	126
2879	148
2879	175
2879	179
2879	238
2879	353
2879	558
2881	4
2881	144
2881	148
2881	175
2881	180
2881	266
2881	424
2881	666
2881	886
2881	2018
2883	337
2883	409
2883	1289
2883	1473
2883	2321
2883	2744
2883	3565
2883	4365
2883	4366
2883	4367
2885	129
2885	176
2885	177
2885	180
2885	266
2885	368
2885	390
2885	427
2885	667
2885	856
2886	121
2886	125
2886	129
2886	146
2886	176
2886	238
2886	248
2886	264
2886	352
2886	427
2887	177
2887	411
2887	586
2887	706
2887	1588
2887	3363
2887	4369
2887	4370
2887	4371
2888	527
2888	652
2888	1738
2888	2304
2888	3017
2888	4327
2888	4393
2888	4394
2888	4395
2888	4396
2890	56
2890	442
2890	1279
2890	2220
2890	3156
2890	3794
2890	4368
2890	4397
2890	4398
2892	763
2892	2052
2892	2628
2892	2773
2892	4219
2892	4372
2892	4373
2892	4374
2892	4375
2892	4376
2897	262
2897	396
2897	1397
2897	4307
2897	4366
2897	4377
2897	4378
2897	4379
2897	4380
2898	932
2898	1305
2898	2353
2898	2694
2898	2770
2898	3138
2898	4058
2898	4381
2898	4382
2898	4383
2900	177
2900	303
2900	1487
2900	2751
2900	3142
2900	3179
2900	3544
2900	4384
2900	4385
2900	4386
2901	3
2901	8
2901	123
2901	128
2901	146
2901	177
2901	179
2901	248
2901	390
2901	1245
2903	117
2903	380
2903	716
2903	1043
2903	1706
2903	1780
2903	2761
2903	3146
2903	4387
2903	4388
2904	531
2904	820
2904	930
2904	1608
2904	1845
2904	1956
2904	4156
2904	4399
2904	4400
2904	4401
2906	301
2906	692
2906	2106
2906	2670
2906	2916
2906	3188
2906	4334
2906	4402
2906	4403
2906	4404
2907	112
2907	117
2907	841
2907	2154
2907	3526
2907	4082
2907	4389
2907	4390
2907	4391
2907	4392
2921	296
2921	828
2921	944
2921	1456
2921	2354
2921	3139
2921	3779
2921	4248
2921	4407
2921	4408
2922	178
2922	252
2922	264
2922	367
2922	390
2922	422
2922	423
2922	559
2922	754
2922	2001
2926	664
2927	868
2927	963
2927	1749
2927	2298
2927	3717
2927	4265
2927	5777
2927	5778
2927	5779
2927	5780
2930	2158
2936	534
2936	2414
2936	3772
2936	4412
2936	4413
2936	4414
2938	486
2938	494
2938	534
2938	924
